Insertion Index,List,Array
875,0.000274,0.000028
876,0.000306,0.000026
877,0.000284,0.000025
878,0.000412,0.000028
879,0.000277,0.000025
880,0.000263,0.000026
881,0.000289,0.000024
882,0.000284,0.000024
883,0.000341,0.000024
884,0.000316,0.000024
885,0.000266,0.000024
886,0.000296,0.000028
887,0.000267,0.000023
888,0.000444,0.000030
889,0.000288,0.000028
890,0.000264,0.000033
891,0.000314,0.000022
892,0.000283,0.000022
893,0.000422,0.000022
894,0.000284,0.000022
895,0.000276,0.000022
896,0.000321,0.000022
897,0.000279,0.000022
898,0.000271,0.000022
899,0.000302,0.000021
900,0.000285,0.000021
901,0.000326,0.000022
902,0.000281,0.000021
903,0.000280,0.000038
904,0.000347,0.000020
905,0.000271,0.000020
906,0.000272,0.000019
907,0.000333,0.000025
908,0.000294,0.000019
909,0.000373,0.000019
910,0.000295,0.000019
911,0.000281,0.000020
912,0.000350,0.000018
913,0.000283,0.000025
914,0.000281,0.000023
915,0.000298,0.000018
916,0.000333,0.000020
917,0.000342,0.000018
918,0.000291,0.000017
919,0.000375,0.000017
920,0.000303,0.000017
921,0.000276,0.000042
922,0.000304,0.000016
923,0.000285,0.000017
924,0.000420,0.000016
925,0.000291,0.000016
926,0.000289,0.000015
927,0.000332,0.000016
928,0.000286,0.000015
929,0.000276,0.000016
930,0.000301,0.000018
931,0.000298,0.000015
932,0.000361,0.000014
933,0.000298,0.000015
934,0.000294,0.000015
935,0.000339,0.000014
936,0.000285,0.000014
937,0.000296,0.000013
938,0.000312,0.000013
939,0.000306,0.000013
940,0.000571,0.000013
941,0.000293,0.000012
942,0.000324,0.000012
943,0.000306,0.000017
944,0.000358,0.000012
945,0.000364,0.000012
946,0.000289,0.000012
947,0.000423,0.000012
948,0.000300,0.000011
949,0.000300,0.000015
950,0.000312,0.000011
951,0.000268,0.000011
952,0.000283,0.000011
953,0.000306,0.000010
954,0.000290,0.000010
955,0.000526,0.000010
956,0.000295,0.000010
957,0.000286,0.000009
958,0.000319,0.000012
959,0.000313,0.000009
960,0.000349,0.000009
961,0.000335,0.000009
962,0.000295,0.000009
963,0.000330,0.000008
964,0.000301,0.000009
965,0.000406,0.000011
966,0.000304,0.000007
967,0.000296,0.000009
968,0.000394,0.000008
969,0.000303,0.000008
970,0.000334,0.000007
971,0.000369,0.000007
972,0.000317,0.000009
973,0.000384,0.000007
974,0.000321,0.000007
975,0.000381,0.000006
976,0.000281,0.000006
977,0.000363,0.000006
978,0.000313,0.000005
979,0.000296,0.000005
980,0.000413,0.000005
981,0.000289,0.000005
982,0.000338,0.000005
983,0.000317,0.000005
984,0.000318,0.000004
985,0.000399,0.000004
986,0.000318,0.000004
987,0.000304,0.000005
988,0.000398,0.000004
989,0.000333,0.000004
990,0.000377,0.000003
991,0.000305,0.000003
992,0.000436,0.000002
993,0.000317,0.000002
994,0.000314,0.000003
995,0.000332,0.000002
996,0.000311,0.000002
997,0.000418,0.000002
998,0.000313,0.000002
999,0.000318,0.000002
